iter	Passed	Remaining
627	48836	106693
628	48908	106602
629	48970	106490
630	49050	106418
631	49124	106333
632	49193	106235
633	49287	106192
634	49357	106100
635	49429	106009
636	49496	105909
637	49583	105851
638	49656	105761
639	49731	105678
640	49798	105579
641	49864	105475
642	49937	105388
643	50016	105314
644	50112	105274
645	50176	105169
646	50248	105078
647	50342	105034
648	50412	104942
649	50479	104842
650	50564	104780
651	50635	104688
652	50718	104622
653	50792	104536
654	50871	104461
655	50944	104374
656	51015	104282
657	51085	104189
658	51165	104116
659	51234	104022
660	51298	103915
661	51363	103813
662	51427	103708
663	51518	103657
664	51590	103568
665	51656	103467
666	51723	103368
667	51808	103306
668	51890	103237
669	51954	103133
670	52024	103041
671	52088	102937
672	52167	102861
673	52256	102806
674	52332	102726
675	52416	102662
676	52501	102599
677	52569	102503
678	52664	102458
679	52725	102349
680	52803	102272
681	52871	102177
682	52937	102077
683	53012	101995
684	53081	101900
685	53149	101805
686	53213	101702
687	53275	101595
688	53340	101494
689	53419	101419
690	53489	101327
691	53563	101243
692	53654	101193
693	53752	101153
694	53817	101053
695	53909	101002
696	54011	100970
697	54076	100870
698	54165	100814
699	54232	100716
700	54318	100656
701	54392	100571
702	54478	100510
703	54544	100410
704	54632	100352
705	54696	100251
706	54768	100164
707	54844	100082
708	54917	99997
709	54981	99895
710	55052	99807
711	55120	99711
712	55187	99615
713	55268	99544
714	55362	99498
715	55452	99443
716	55532	99370
717	55601	99277
718	55681	99204
719	55758	99126
720	55833	99045
721	55900	98947
722	55961	98842
723	56027	98745
724	56098	98655
725	56183	98592
726	56274	98539
727	56347	98453
728	56413	98355
729	56502	98299
730	56579	98221
731	56657	98143
732	56725	98050
733	56817	97998
734	56889	97911
735	56961	97825
736	57024	97722
737	57088	97622
738	57162	97539
739	57255	97488
740	57351	97442
741	57424	97358
742	57489	97260
743	57555	97163
744	57657	97128
745	57736	97052
746	57825	96994
747	57919	96945
748	57993	96862
749	58071	96786
750	58166	96738
751	58251	96672
752	58336	96607
753	58420	96541
754	58507	96479
755	58572	96381
756	58635	96280
757	58695	96174
758	58765	96084
759	58830	95986
760	58890	95880
761	58951	95776
762	59018	95682
763	59082	95584
764	59149	95489
765	59232	95421
766	59320	95361
767	59398	95285
768	59490	95231
769	59570	95158
770	59646	95078
771	59711	94981
772	59789	94905
773	59857	94812
774	59951	94761
775	60049	94717
776	60112	94617
777	60178	94522
778	60254	94442
779	60326	94357
780	60398	94270
781	60466	94179
782	60532	94084
783	60627	94034
784	60693	93939
785	60769	93860
786	60839	93771
787	60926	93709
788	60985	93604
789	61076	93547
790	61139	93448
791	61213	93365
792	61284	93278
793	61353	93189
794	61438	93123
795	61524	93060
796	61606	92989
797	61674	92898
798	61740	92804
799	61836	92754
800	61904	92663
801	61969	92567
802	62048	92493
803	62130	92422
804	62213	92353
805	62291	92277
806	62371	92205
807	62441	92116
808	62520	92042
809	62586	91947
810	62677	91890
811	62742	91795
812	62808	91702
813	62877	91612
814	62941	91516
815	63009	91425
816	63077	91334
817	63160	91266
818	63250	91207
819	63326	91127
820	63395	91038
821	63474	90965
822	63560	90899
823	63637	90822
824	63718	90750
825	63797	90676
826	63867	90588
827	63932	90493
828	63996	90397
829	64056	90296
830	64135	90222
831	64220	90155
832	64298	90079
833	64373	89998
834	64445	89915
835	64507	89816
836	64572	89722
837	64649	89645
838	64737	89583
839	64807	89495
840	64875	89406
841	64947	89321
842	65015	89232
843	65077	89135
844	65143	89042
845	65224	88971
846	65301	88893
847	65368	88802
848	65459	88744
849	65528	88655
850	65603	88576
851	65687	88508
852	65763	88429
853	65830	88339
854	65902	88255
855	65996	88200
856	66057	88102
857	66131	88021
858	66230	87972
859	66297	87882
860	66377	87809
861	66446	87722
862	66517	87637
863	66591	87555
864	66659	87467
865	66733	87385
866	66817	87317
867	66888	87232
868	66962	87151
869	67048	87085
870	67114	86994
871	67177	86899
872	67255	86823
873	67332	86746
874	67415	86677
875	67482	86587
876	67551	86500
877	67638	86435
878	67699	86338
879	67762	86242
